sm_time,sm_x,sm_y,sm_z
949113.21598786,-4.092797E-05,-0.0005155703,-0.00071959925
949113.21798786,-0.00065179326,0.00070616027,-0.00010873401
949113.219987193,-4.092797E-05,-0.0011264355,-0.0013304645
949113.221986693,-0.0018735237,0.0013170254,-0.0013304645
949113.223986293,-4.092797E-05,0.0013170254,-0.00010873401
949113.225985959,-4.092797E-05,0.00070616027,-0.00071959925
949113.227985673,-0.00065179326,-0.0005155703,0.00050213124
949113.229985423,-0.0012626585,-0.0011264355,0.00050213124
949113.2319852,-4.092797E-05,9.529498E-05,-0.00071959925
949113.233985,-0.00065179326,0.00070616027,-0.00071959925
949113.235982272,0.0011808025,-0.0005155703,-0.00010873401
949113.237981938,-0.0012626585,9.529498E-05,0.0011129965
949113.23998163,-0.0018735237,-0.0005155703,-0.00071959925
949113.241981344,0.0005699373,-0.002348166,-0.0013304645
949113.243981077,0.0005699373,9.529498E-05,-0.00071959925
949113.245980827,-0.00065179326,0.00070616027,-0.00010873401
949113.247980591,-0.00065179326,-0.0035698966,0.0011129965
949113.249980257,-0.00065179326,-0.0011264355,-0.00071959925
949113.251979941,-0.00065179326,-0.0005155703,-0.00071959925
949113.253979641,-0.00065179326,-0.0011264355,-0.00010873401
949113.255978117,0.0011808025,0.00070616027,0.0011129965
949113.257977253,-4.092797E-05,-0.0005155703,-0.00010873401
949113.259976992,-0.0012626585,-0.002348166,0.00050213124
949113.261976742,-0.00065179326,0.0013170254,-0.0013304645
949113.263976502,-4.092797E-05,-0.0005155703,0.00050213124
949113.265976194,-0.00065179326,9.529498E-05,-0.0013304645
949113.267975897,0.0005699373,-0.0017373008,0.0011129965
949113.269975611,-0.0018735237,-0.0011264355,0.00050213124
949113.271975335,-0.0012626585,-0.0005155703,-0.00071959925
949113.273975068,-0.00065179326,-0.0005155703,0.00050213124
949113.275974801,-0.0012626585,0.0013170254,-0.00071959925
949113.277975334,-4.092797E-05,-0.0005155703,-0.0013304645
949113.279975134,0.0005699373,-0.002348166,0.00050213124
949113.281974867,0.0011808025,-0.0011264355,-0.00071959925
949113.2839746,-4.092797E-05,-0.0005155703,-0.00010873401
949113.285974333,0.0017916678,-0.0011264355,0.00050213124
949113.287974066,-0.0018735237,0.00070616027,-0.00071959925
949113.289973799,-4.092797E-05,-0.0005155703,-0.00071959925
949113.291973532,0.0005699373,9.529498E-05,0.0011129965
949113.293973265,-0.002484389,0.0013170254,-0.00010873401
949113.295973065,-4.092797E-05,-0.0017373008,-0.00071959925
949113.297972931,-0.0012626585,0.0019278907,-0.0037739256
949113.299972664,-0.0012626585,0.00070616027,-0.00071959925
949113.301972397,-0.0012626585,9.529498E-05,-0.0013304645
949113.30397213,-0.0012626585,9.529498E-05,-0.002552195
949113.305971863,-4.092797E-05,-0.0005155703,-0.00010873401
949113.307971596,-4.092797E-05,0.00070616027,0.00050213124
949113.309971396,-0.0018735237,9.529498E-05,0.0017238617
949113.311971196,0.0011808025,0.0019278907,-0.0013304645
949113.313970929,-0.00065179326,0.0019278907,-0.00071959925
949113.315970662,0.0005699373,9.529498E-05,-0.00071959925
949113.317970895,0.0017916678,0.0013170254,0.0011129965
949113.319970628,0.0011808025,0.0019278907,-0.002552195
949113.321970361,-4.092797E-05,0.00070616027,-0.0013304645
949113.323970094,-4.092797E-05,0.00070616027,-0.00010873401
949113.325969894,-0.0018735237,0.00070616027,0.0029455922
